Indonesia,English,Baca
Alpukat,Avocado,evokado
Blackberry,Blackberry,blekberi
Blueberry,Blueberry,bluberi
Blewah,Cantaloupe,kentalup
Ceri,Cherry,ceri
Kelapa,Coconut,kokonat
Kurma,Date,deit
Buah Naga,Dragon Fruit,dragon frut
Durian,Durian,dyurian
Nangka,Jack Fruit,
Jambu Biji,Guava,guava
Kiwi,Kiwi,kiwi
Lemon,Lemon,lemon
Jeruk Nipis,Lime,laim
Leci,Lychee,lai-ci
Manggis,Mangosteen,manggostin
Zaitun,Olive,oliv
Markisa,Passion Fruit,pesen frut
Persik,Peach,pic
Pir,Pear,per
Delima,Pomegranate,pomegranit
Rambutan,Rambutan,rambutan
Raspberry,Raspberry,rasberi
Sawo,Sapodilla,sapodila
Salak,Snake Fruit,snek frut
Sirsak,Soursop,saur-sop
Belimbing,Starfruit,starfrut
Tomat,Tomato,tomato
Jambu Air,Wax Apple,waks epel
Semangka,Watermelon,
Lemon,Lemon,
Nanas,Pineapple,
Pepaya,Papaya,
Apel,Apple,
Anggur,Grapes,
Mangga,Mango,
Pisang,Banana,
Jeruk,Orange,
Kelengkeng,Longan,
Mengkudu,Noni,
