Indonesia,English,Baca
Senin,Monday,mandei
Selasa,Tuesday,tiusdei
Rabu,Wednesday,wensdei
Kamis,Thursday,tersdei
Jumat,Friday,fridai
Sabtu,Saturday,saterdei
Minggu (hari),Sunday,sandei
Januari,January,jenyuari
Februari,February,februeri
Maret,March,marc
April,April,eipril
Mei,May,mei
Juni,June,jun
Juli,July,julai
Agustus,August,oges
September,September,september
Oktober,October,oktober
November,November,november
Desember,December,disember
Hari,Day,dei
Minggu,Week,wiik
Bulan,Month,manth
Tahun,Year,yir
Besok,Tomorrow,tumorou
Kemarin,Yesterday,yesterdei
Hari ini,Today,tudei
Pagi,Morning,morning
Siang,Afternoon,aftennun
Sore,Evening,ivning
Malam,Night,nait
Jam,Hour,auer
Menit,Minute,minit
Detik,Second,sekend
