Indonesia,English,Baca
Arsitek,Architect,arkitek
Astronot,Astronaut,astronot
Tukang Cukur,Barber,barber
Tukang Bangunan,Builder,bilder
Tukang Kayu,Carpenter,karpenter
Kasir,Cashier,kesyir
Koki,Chef,syef
Penari,Dancer,denser
Dokter Gigi,Dentist,dentist
Desainer,Designer,dizainer
Dokter,Doctor,dokter
Sopir,Driver,draiver
Petani,Farmer,farmer
Pemadam Kebakaran,Firefighter,fairfaiter
Nelayan,Fisherman,fisermen
Pramugari,Flight Attendant,flait atendent
Penata Rambut,Hairdresser,herdreser
Jurnalis,Journalist,jurnalis
Hakim,Judge,jaj
Pengacara,Lawyer,loyer
Montir,Mechanic,mekanik
Perawat,Nurse,ners
Pelukis,Painter,peinter
Apoteker,Pharmacist,farmasis
Fotografer,Photographer,fotografer
Pilot,Pilot,pailot
Polisi,Policeman,polisman
Programmer,Programmer,programer
Satpam,Security Guard,sekyuriti gard
Penjual,Seller,seler
Penyanyi,Singer,singer
Tentara,Soldier,soljer
Penjahit,Tailor,teiler
Guru,Teacher,ticer
Pelayan,Waiter,weiterr
Penulis,Writer,raiter
