Indonesia,English,Cara_Baca,Link
Kubis,Cabbage,kebej,https://images.unsplash.com/photo-1611105637889-3afd7295bdbf?w=500
Wortel,Carrot,keret,https://images.unsplash.com/photo-1447175008436-054170c2e979?w=500
Jagung,Corn,korn,https://images.unsplash.com/photo-1551754655-cd27e38d2076?w=500
Bawang,Onion,enyon,https://images.unsplash.com/photo-1508747703725-719777637510?w=500
Kentang,Potato,poteito,https://images.unsplash.com/photo-1518977676601-b53f82aba655?w=500
Tomat,Tomato,tomato,https://images.unsplash.com/photo-1546094096-0df4bcaaa337?w=500
Bayam,Spinach,spinech,https://images.unsplash.com/photo-1576045057995-568f588f82fb?w=500
Brokoli,Broccoli,brokoli,https://images.unsplash.com/photo-1459411621453-7b03977f4bfc?w=500
Cabai,Chili,cili,https://images.unsplash.com/photo-1502741338009-cac2772e18bc?w=500
Kacang Panjang,Long Bean,long bin,https://images.unsplash.com/photo-1567375698348-5d9d5ae99de0?w=500
Kacang Polong,Pea,pii,https://images.unsplash.com/photo-1566842600175-97dca489844f?w=500
Kangkung,Water Spinach,woter spinech,https://images.unsplash.com/photo-1518843875459-f738682238a6?w=500
Labu,Pumpkin,pampkin,https://images.unsplash.com/photo-1502741338009-cac2772e18bc?w=500
Lobak,Radish,redisy,https://images.unsplash.com/photo-1597362925123-77861d3fbac7?w=500
Paprika,Bell Pepper,bel peper,https://images.unsplash.com/photo-1563565375-f3fdfdbefa83?w=500
Pare,Bitter Melon,biter melon,https://images.unsplash.com/photo-1628773822503-930a7eaecf80?w=500
Petai,Stink Bean,stingk bin,https://images.unsplash.com/photo-1603048719539-9ecb4aeef0f2?w=500
Sawi,Mustard Greens,mastard grin,https://images.unsplash.com/photo-1576045057995-568f588f82fb?w=500
Seledri,Celery,seleri,https://images.unsplash.com/photo-1518843875459-f738682238a6?w=500
Selada,Lettuce,letis,https://images.unsplash.com/photo-1556801712-76c8eb07bbc9?w=500
Singkong,Cassava,kesava,https://images.unsplash.com/photo-1603048719358-52d4b41f652c?w=500
Terong,Eggplant,egplen,https://images.unsplash.com/photo-1518977822534-7049a61ee0c2?w=500
Toge,Bean Sprout,bin spraut,https://images.unsplash.com/photo-1512621776951-a57141f2eefd?w=500
Ubi Jalar,Sweet Potato,swit poteito,https://images.unsplash.com/photo-1518977676601-48cd35c7d1ea?w=500
Zucchini,Zucchini,zukini,https://images.unsplash.com/photo-1502741338009-cac2772e18bc?w=500
Buncis,Green Bean,grin bin,https://images.unsplash.com/photo-1567375698348-5d9d5ae99de0?w=500
Jamur,Mushroom,masrum,https://images.unsplash.com/photo-1504674900247-0877df9cc836?w=500
Daun Bawang,Spring Onion,spring enyon,https://images.unsplash.com/photo-1508747703725-719777637510?w=500
Mentimun,Cucumber,kyukamber,https://images.unsplash.com/photo-1449300079323-02e209d9d3a6?w=500
