Indonesia,English,Baca
Kepala,Head,hed
Rambut,Hair,her
Dahi,Forehead,forhed
Mata,Eye,ai
Alis,Eyebrow,aibrau
Bulu Mata,Eyelash,ailesh
Hidung,Nose,nous
Mulut,Mouth,mauth
Bibir,Lips,lips
Gigi,Teeth,tiith
Lidah,Tongue,tang
Telinga,Ear,ier
Pipi,Cheek,ciik
Dagu,Chin,cin
Leher,Neck,nek
Bahu,Shoulder,syoulder
Lengan,Arm,arm
Siku,Elbow,elbou
Tangan,Hand,hend
Jari,Finger,fingger
Kuku,Nail,neil
Dada,Chest,ces
Perut,Stomach,stomek
Pinggang,Waist,weist
Punggung,Back,bek
Paha,Thigh,thai
Lutut,Knee,nii
Betis,Calf,kaf
Kaki,Foot,fut
Kaki (utuh),Leg,leg
Jari Kaki,Toe,tou
Tumit,Heel,hiil
Kulit,Skin,skin
Otak,Brain,brein
Jantung,Heart,hart
Paru-paru,Lungs,langs
Ketiak,Armpit,armpit
Pergelangan Kaki,Ankle,engkel
Gusi,Gum,gam
Jari Kaki,Toe,tou
